amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Print; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Tulgey Wood Foundation,"Bethesda, MD United States",Vermont Journalism Trust,"Montpelier, VT United States",Support of Organization,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",UNITED POULTRY CONCERNS INC,"Machipongo, VA United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people; Working poor; Activists; Artists and performers; Chronically ill people; Extremely poor people; Victims of crime and abuse,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",Inveg,"Spokane, WA United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",Plant Based for All,"Long Beach, CA United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Vin and Caren Prothro Foundation,"Dallas, TX United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Washakie Foundation,"Wilmington, DE United States","Committee to Protect Journalists, Inc.","New York City, NY United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,Abrams-Bell Foundation,"Providence, RI United States",Real News Project Inc,"New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Adler Family Foundation Inc,"Bethesda, MD United States","National Public Radio, Inc.","Washington, DC United States",GENERAL FUND,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Anthony Family Foundation,"Dallas, TX United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Barbara and Donald Tober Foundation Attn Jack Vivinetto,"New York City, NY United States","International Center for Journalists, Inc.","Washington, DC United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Collections management and preservation; Online media; Program support,TRANSACTION TYPE: Cash grants,Bessie Minor Swift Foundation,"Reston, VA United States",Tread of Pioneers Historical Commission,"Steamboat Springs, CO United States",Newspaper photo archival project,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,PROGRAM AREA: Arts & Culture,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,COMMUNITY FOUNDATION OF WESTERN MASSACHUSETTS,"Springfield, MA United States","NEW ENGLAND PUBLIC MEDIA, INC.","Springfield, MA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Ebb Point Foundation- Blackrock,"Pennington, NJ United States",Koto Community Radio,"Telluride, CO United States",Unrestricted general,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Gerald R Jordan Foundation,"Quincy, MA United States",Harvard Magazine Inc,"Cambridge, MA United States",GENERAL FUNDRAISING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,PROGRAM AREA: City & Community Development,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,GiveWell Community Foundation,"Lakeland, FL United States",LINKING COMMUNITY NOW INC,"Lakeland, FL United States",LkldNow Donation,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,PROGRAM AREA: City & Community Development,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,GiveWell Community Foundation,"Lakeland, FL United States",LINKING COMMUNITY NOW INC,"Lakeland, FL United States",LkldNow Donation,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Conferences and exhibitions,TRANSACTION TYPE: Cash grants,Inasmuch Foundation,"Oklahoma City, OK United States",The Poynter Institute for Media Studies Inc,"St Petersburg, FL United States","Annual Conference (Oct 24-26, 2019)",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Systems reform; Program support; Advocacy; Research,TRANSACTION TYPE: Cash grants,Johnson and Louise H Clark Charitable Foundation,"Saratoga, CA United States","PRO Publica, Inc.","New York City, NY United States","Aid in exposing corruption, informing the public about complex issues, and using the power of investigative journalism to spur reform.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Jonathan Cs Cox Family Foundation C/o Night Song,"Seattle, WA United States",Democracy Now Productions Inc,"New York City, NY United States",Public education,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Judith Gerson Charitable Trust Ima,"CLEVELAND, OH United States","National Public Radio, Inc.","Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,L & J Goldrich Foundation,"Virginia Beach, VA United States",COMMITTEE FOR ACCURACY IN MIDDLE EAST REPORTING IN AMERICA INC,"Boston, MA United States",Charitable,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people; Adults; Indigenous peoples,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Marshall L and Perrine D Mccune Charitable Foundation Inc,"Santa Fe, NM United States",KOAHNIC BROADCAST CORPORATION,"Anchorage, AK United States",General operating support (for enterprise journalism and collaborations to report on rural new mexico communities),http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Scholarships,TRANSACTION TYPE: Cash grants,May Foundation Trust,"Oakland, CA United States",University of Central Florida,"Orlando, FL United States",Gives scholarship assistance to women in journalism.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Mccabe Family Foundation,"Park Ridge, IL United States",Voice of the Faithful,"Newton, MA United States",Unrestricted charitable uses,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Mgg Foundation,"New York City, NY United States","Committee to Protect Journalists, Inc.","New York City, NY United States",Public charity,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Scholarships,TRANSACTION TYPE: Cash grants,Nakadar Foundation,"Bloomfield Hills, MI United States",Tmo Foundation,"Farmington Hills, MI United States",Provide scholarships to journalism students,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People of Latin American descent,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Nustar Foundation,"Dallas, TX United States",San Antonio Association of Hispanic Journalist Scholarship Fund,"San Antonio, TX United States",Community Development,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics; Families,SUPPORT STRATEGY: Research,TRANSACTION TYPE: Cash grants,Perry Foundation Inc.,"Wrightsville Beach, NC United States","THE JOHN LOCKE FOUNDATION, INC.","Raleigh, NC United States","To employ research, journalism, and outreach programs to transform government, seeking a better",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,Schollmaier Foundation,"Fort Worth, TX United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",Support of public media,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,PROGRAM AREA: Educational,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: Children and youth; Students,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,"The Berkshire Taconic Community Foundation, Inc.","Sheffield, MA United States",Hudson City School District,"Hudson, NY United States",For the Junior Journalism Program,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Charles & Lynn Kramer Family Foundation Inc,"Hammonton, NJ United States",COMMITTEE FOR ACCURACY IN MIDDLE EAST REPORTING IN AMERICA INC,"Boston, MA United States",Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Families; Non-adult children; Parents; Economically disadvantaged people,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Christine & Guido Digeronimo Foundation C/o Lee Digeronimoco-Tr,"Northfield, OH United States",Ideastream,"Cleveland, OH United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Fledgling Fund,"Hyannis, MA United States","International Center for Journalists, Inc.","Washington, DC United States",General & unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Victims of crime and abuse; Victims and oppressed people; Muslims; Economically disadvantaged people; Immigrants and migrants,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Jawad Omair Yasin Foundation Inc,"Oklahoma City, OK United States",Facing Abuse in Community Environments,"Austin, TX United States",Education,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Thelma S Rodbell Charitable Foundati C/o Paster & Harpootian Ltd,"Cranston, RI United States","PRO Publica, Inc.","New York City, NY United States",General operating budget,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Vetter Foundation,"Dallas, TX United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",Charitable contribution,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,400",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,New Hampshire Charitable Foundation,"Concord, NH United States","National Public Radio, Inc.","Washington, DC United States",For general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,400",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Health; Social and economic status,SUPPORT STRATEGY: Annual campaigns; General support,TRANSACTION TYPE: Cash grants,Vicksburg Foundation,"Vicksburg, MI United States",COUNCIL OF MICHIGAN FOUNDATIONS INC,"Detroit, MI United States",Public annual dues,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,362",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,Beckman-Matsui Family Foundation,"Rancho Santa Fe, CA United States","PRO Publica, Inc.","New York City, NY United States",Contribution,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,349",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",Vegan for Life,"Houston, TX United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,345",FISCAL YEAR: 2019,PROGRAM AREA: Arts & Culture,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Film/video; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adolescents; Adults; At-risk youth,SUPPORT STRATEGY: Recordings and broadcasts,TRANSACTION TYPE: Cash grants,Greater Washington Community Foundation,"Washington, DC United States",Docs In Progress,"Silver Spring, MD United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,300",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adolescents,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Gpd Group Employees Foundation Inc,"Akron, OH United States",Hudson City School District,"Hudson, OH United States",THE HUDSON HIGH SCHOOL EXPLORER NEWSPAPER,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,300",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Marianne and George Markham Foundation,"Milwaukee, WI United States","PRO Publica, Inc.","New York City, NY United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,300",FISCAL YEAR: 2019,PROGRAM AREA: Radio,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States","National Public Radio, Inc.","Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,263",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Pfizer Foundation Inc,"New York City, NY United States","Committee to Protect Journalists, Inc.","New York City, NY United States","Matching gifts program - matches the personal financial contributions of U.S. Based pfizer employees, retirees, and board members to eligible nonprofit charitable organizations.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,250",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Eagle Foundation,"Moraga, CA United States",Mother Jones,"San Francisco, CA United States",General Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,250",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,Pendleton Mazer Family Fund,"Cambridge, MA United States",PULITZER CENTER ON CRISIS REPORTING,"Washington, DC United States",Educational/Journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,250",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Select Equity Group Foundation,"New York City, NY United States",Center for Public Integrity,"Washington, DC United States",Matching Gifts,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,250",FISCAL YEAR: 2019,PROGRAM AREA: Media and Communications,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States","Grist Magazine, Inc.","Seattle, WA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,211",FISCAL YEAR: 2019,PROGRAM AREA: Creativity and Free Expression,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Activists; Artists and performers; Ethnic and racial groups; Students,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",American University,"Washington, DC United States",For the Racial Reporting Initiative of the Antiracist Research and Policy Center to organize and host a symposium to develop “the Racial Reporting Guidebook,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,200",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Blanche C Hill Foundation,"Telluride, CO United States",COMMUNITY RADIO FOR NORTHERN COLORADO,"Greeley, CO United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,200",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Constituency journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Cheeryble Foundation,"ENCINO, CA United States",Hawaii Public Radio,"Honolulu, HI United States",Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,200",FISCAL YEAR: 2019,PROGRAM AREA: Arts & Culture,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,COMMUNITY FOUNDATION OF WESTERN MASSACHUSETTS,"Springfield, MA United States","NEW ENGLAND PUBLIC MEDIA, INC.","Springfield, MA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,200",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Freeman Family Foundation,"Denver, CO United States",Colorado Public Radio,"Centennial, CO United States",GENERAL OR EDUCATIONAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,200",FISCAL YEAR: 2019,PROGRAM AREA: Arts & Culture,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Greater Washington Community Foundation,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,200",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,James T and Diana P Barnes Foundation Inc,"Winter Park, FL United States","Community Communications, Inc.","Orlando, FL United States",Donation to general fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
