amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Age groups; Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Corday Family Foundation C/o Joanne C Kozberg,"Los Angeles, CA United States",CalMatters,"Sacramento, CA United States",GENERAL FUND,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media justice; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Homeless people,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Crittenden Foundation C/o Brad Currie,"Nashville, TN United States",The Contributor Inc,"Nashville, TN United States",OPERATING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,Dr Lloyd and Kay Chapman Charitable Trust,"Bellingham, WA United States","PRO Publica, Inc.","New York City, NY United States",Investigative journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,PROGRAM AREA: Environment,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,East Bay Community Foundation,"Oakland, CA United States",Orion Society,"Northampton, MA United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Constituency journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Elaine & Robert Lang Foundation,"Kula, HI United States",Hawaii Public Radio,"Honolulu, HI United States",Unrestricted donation,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Ezulwini Foundation Inc,"Wilmington, DE United States",Colorado Public Radio,"Centennial, CO United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Incarcerated people; Low-income people,SUPPORT STRATEGY: Equal access,TRANSACTION TYPE: Cash grants,Frie Family Foundation,"Arvada, CO United States",Human Rights Defense Center Inc,"Lake Worth Beach, FL United States",CHARITY,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Geiger Foundation Inc,"Berkeley Lake, GA United States","Committee to Protect Journalists, Inc.","New York City, NY United States",charitable,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,Glenn and Carol Pearsall Adirondack Foun,"Johnsburg, NY United States",First Night Saranac Lake,"Saranac Lake, NY United States",TO PROCURE MEDIA COVERAGE FOR EVENT.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,PROGRAM AREA: Public Safety,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Ethnic and racial groups,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Greater Washington Community Foundation,"Washington, DC United States",ISSUE ONE,"Washington, DC United States",The Fulcrum,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Healey Family Foundation,"Madison, NJ United States",Harvard Magazine Inc,"Cambridge, MA United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Telecommunications infrastructure; Telecommunications Infrastructure, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Helen and Harry Saul Foundation,"Brentwood, TN United States",Georgia Public Telecommunications Commission,"Atlanta, GA United States",GENERAL OPERATIONS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,James & Alvina Bartos Balog Foundation Inc,"Morristown, NJ United States",Colorado Public Radio,"Centennial, CO United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,James and Joanne Mitchell Foundation Inc,"MIAMI, FL United States",Snapper Creek Lakes Club Inc,"Coral Gables, FL United States",DONATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,James W Thornton Family Foundation,"Chicago, IL United States","National Public Radio, Inc.","Washington, DC United States",GENERAL PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,John Winthrop Charitable Trust,"Charleston, SC United States",Harvard Magazine Inc,"Cambridge, MA United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Jonathan Cs Cox Family Foundation C/o Night Song,"Seattle, WA United States",Democracy Now Productions Inc,"New York City, NY United States",PUBLIC EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,"Joseph and Vera Zilber Family Foundation, Inc","Milwaukee, WI United States",Psi Chi the International Honor Society in Psychology,"Milwaukee, WI United States",To Neighborhood News Service,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Joy & Thomas Kealey Foundation,"Boise, ID United States",Wassmuth Center for Human Rights Home of the Anne Frank Memorial,"Boise, ID United States",General Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Telecommunications infrastructure; Telecommunications Infrastructure, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Academics,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Kaminski Sylvester & Tessie Foundation Xxx-Xx-Xxxx,"South Bend, IN United States",FRIENDS OF WVPE INC,"Elkhart, IN United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Lannan Foundation,"Santa Fe, NM United States",Democracy Now Productions Inc,"New York City, NY United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults; Ethnic and racial groups; Work status and occupations,SUPPORT STRATEGY: Ethics and accountability; Systems reform; Program support,TRANSACTION TYPE: Cash grants,Leoffler Trust C/o Gloria & William Finagin,"Annapolis, MD United States",Daily Caller News Foundation,"Washington, DC United States","To expose abuses of power and betrayals of the public trust by government, business, and other institutions, using the moral force of investigative journalism to spur reform through the sustained spotlighting of wrongdoing.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Leslie Fund Inc,"Wilmington, DE United States",Orion Society,"Northampton, MA United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Massie Family Charitable Trust 1 Michael N Newmark Co-Trustee,"St Louis, MO United States",Pole Mountain Lookout Inc,"Cazadero, CA United States",SUPPORT OPEN SPACES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Maxwell Strawbridge Foundation,"PHILADELPHIA, PA United States",COMMITTEE FOR ACCURACY IN MIDDLE EAST REPORTING IN AMERICA INC,"Boston, MA United States",GENERAL FUND,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Mccabe Family Foundation,"Park Ridge, IL United States",Voice of the Faithful,"Newton, MA United States",UNRESTRICTED CHARITABLE USES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,PROGRAM AREA: Human Rights \ Individual liberties \ Freedom of association & expression,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Minneapolis Foundation,"Minneapolis, MN United States","Committee to Protect Journalists, Inc.","New York City, NY United States",general operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Nathalie and James Andrews Foundation,"Charlottesville, VA United States","Grist Magazine, Inc.","Seattle, WA United States",OPERATING EXPENSES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Print; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,New Hampshire Charitable Foundation,"Concord, NH United States",Vermont Journalism Trust,"Montpelier, VT United States",For general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,New Hampshire Charitable Foundation,"Concord, NH United States","PRO Publica, Inc.","New York City, NY United States",For general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,PROGRAM AREA: Thriving Communities,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Nonprofit collaborations; Public engagement and education; Systems reform; Ethics and accountability; Advocacy,TRANSACTION TYPE: Cash grants,"New York Community Trust aka Community Funds, Inc.","New York City, NY United States",Center for Public Integrity,"Washington, DC United States",for support of the International Consortium of Investigative Journalists.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Norwottock Charitable Trust,"Chicago, IL United States",Mother Jones,"San Francisco, CA United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,O'connor Family Foundation,"Chaska, MN United States","Committee to Protect Journalists, Inc.","New York City, NY United States",TO SUPPORT THE MISSION OF THE ORGANIZATION.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Grantee relations,TRANSACTION TYPE: Cash grants,Percival Stern Foundation,"Garden City, ID United States","National Public Radio, Inc.","Washington, DC United States",FOR GENERAL PURPOSES OF THE GRANTEE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Students; Teachers,SUPPORT STRATEGY: Program support; Online media,TRANSACTION TYPE: Cash grants,Real Reporting Foundation,"Lancaster, PA United States",Central Pennsylvania Leadershipseminar,"Lancaster, PA United States",PROVISION OF MEDIA SERVICES AND RELATED BUSINESS FOR THE ABCUG IN HUNGARY. THIS IS AN ONLINE NEWSPAPER WHICH REPORTS ON CURRENT EVENTS TAKING PLACE IN THE CENTRAL EASTERN EUROPE COUNTRY OF HUNGARY.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Rudolph Joseph Foundation,"White Plains, NY United States",Democracy Now Productions Inc,"New York City, NY United States",Charitable,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Individual development,TRANSACTION TYPE: Cash grants,Saint Paul & Minnesota Foundation,"St Paul, MN United States",Minnesota News Media Institute Inc,"Minneapolis, MN United States",For the internship program,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Saul & Marion Kleinkramer Foundation C/o Bessemer Trust Company Na,"New York City, NY United States","National Public Radio, Inc.","Washington, DC United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Adults; At-risk youth; Economically disadvantaged people; Immigrants and migrants; Activists; Farmers; Families,SUPPORT STRATEGY: General support; Advocacy,TRANSACTION TYPE: Cash grants,Seattle Foundation,"Seattle, WA United States",Civil Eats,"Burlington, MA United States",To provide general support.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,PROGRAM AREA: Media & Communications,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media literacy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; At-risk youth; Economically disadvantaged people; Immigrants,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",Embarcadero Media Foundation,"Palo Alto, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,PROGRAM AREA: Arts Education,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults; Adolescents; Ethnic and racial groups; Students; Teachers,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",Keplers Literary Foundation,"Menlo Park, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,PROGRAM AREA: Printing & Publishing,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States","PRO Publica, Inc.","New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,PROGRAM AREA: Voter Education & Registration,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Age groups; Ethnic and racial groups,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",CalMatters,"Sacramento, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Swig Foundation,"San Francisco, CA United States",Uc Regents Berkeley,"Berkeley, CA United States",A two-year educational immersion in Journalism.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,"PROGRAM AREA: Arts, Culture, and Humanities",GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"The Berkshire Taconic Community Foundation, Inc.","Sheffield, MA United States","NEW ENGLAND PUBLIC MEDIA, INC.","Springfield, MA United States",For general operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,"PROGRAM AREA: Arts, Culture, and Humanities",GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"The Berkshire Taconic Community Foundation, Inc.","Sheffield, MA United States","NEW ENGLAND PUBLIC MEDIA, INC.","Springfield, MA United States",For unrestricted use,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,"PROGRAM AREA: Arts, Culture, and Humanities",GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"The Berkshire Taconic Community Foundation, Inc.","Sheffield, MA United States","NEW ENGLAND PUBLIC MEDIA, INC.","Springfield, MA United States",For general operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,PROGRAM AREA: Educational Institutions,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"The Berkshire Taconic Community Foundation, Inc.","Sheffield, MA United States","WMHT Educational Telecommunications, Inc.","Troy, NY United States",For general operating expenses,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Brookby Foundation,"Milwaukee, WI United States",ISSUE ONE,"Washington, DC United States",General Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,The Carol & George Weinbaum Family Foundation,"Philadelphia, PA United States","PRO Publica, Inc.","New York City, NY United States",INVESTIGATIVE JOURNALISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,PROGRAM AREA: ARTS Advancing The Arts,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Community Foundation of Western North Carolina,"Asheville, NC United States",Carolina Public Press Inc,"Asheville, NC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,PROGRAM AREA: ARTS Advancing The Arts,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Community Foundation of Western North Carolina,"Asheville, NC United States",Carolina Public Press Inc,"Asheville, NC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,PROGRAM AREA: ARTS Advancing The Arts,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Community Foundation of Western North Carolina,"Asheville, NC United States",Carolina Public Press Inc,"Asheville, NC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ggm Trust,"Harrisville, NH United States","PRO Publica, Inc.","New York City, NY United States",General Purpose,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; People with disabilities; Substance abusers; Economically disadvantaged people; Immigrants and migrants,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Katz Family Foundation,"Los Angeles, CA United States",San Francisco Public Press,"San Francisco, CA United States",DOMESTIC NEEDS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
TOTAL AMOUNT:  $500,FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Constituency journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Kenneth and Diane Matsuura Foundation,"Honolulu, HI United States",Hawaii Public Radio,"Honolulu, HI United States",PHILANTHROPIC PURPOSES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
