Foundation Name,EIN,Source,URL,State,Place-based,Geographic area(s) served,Subject area(s),Population(s) served,Year,Total revenue,Total expenses,Net income,Revenue source 1,Percent of total revenue 1,Revenue source 2,Percent of revenue 2,Revenue source 3,Percent of revenue 3,Other revenue sources,Percent of revenue other,Expense category 1,Proportion of total expenses 1,Expense category 2,Proportion of total expenses 2,Total assets,Total liabilities,Net assets,State_abbr,efile,ein,tax_pd,subseccd,s501c3or4947a1cd,schdbind,politicalactvtscd,lbbyingactvtscd,subjto6033cd,dnradvisedfundscd,prptyintrcvdcd,maintwrkofartcd,crcounselingqstncd,hldassetsintermpermcd,rptlndbldgeqptcd,rptinvstothsecd,rptinvstprgrelcd,rptothasstcd,rptothliabcd,sepcnsldtfinstmtcd,sepindaudfinstmtcd,inclinfinstmtcd,operateschools170cd,frgnofficecd,frgnrevexpnscd,frgngrntscd,frgnaggragrntscd,rptprofndrsngfeescd,rptincfnndrsngcd,rptincgamingcd,operatehosptlcd,hospaudfinstmtcd,rptgrntstogovtcd,rptgrntstoindvcd,rptyestocompnstncd,txexmptbndcd,invstproceedscd,maintescrwaccntcd,actonbehalfcd,engageexcessbnftcd,awarexcessbnftcd,loantofficercd,grantoofficercd,dirbusnreltdcd,fmlybusnreltdcd,servasofficercd,recvnoncashcd,recvartcd,ceaseoperationscd,sellorexchcd,ownsepentcd,reltdorgcd,intincntrlcd,orgtrnsfrcd,conduct5percentcd,compltschocd,f1096cnt,fw2gcnt,wthldngrulescd,noemplyeesw3cnt,filerqrdrtnscd,unrelbusinccd,filedf990tcd,frgnacctcd,prohibtdtxshltrcd,prtynotifyorgcd,filedf8886tcd,solicitcntrbcd,exprstmntcd,providegoodscd,notfydnrvalcd,filedf8282cd,f8282cnt,fndsrcvdcd,premiumspaidcd,filedf8899cd,filedf1098ccd,excbushldngscd,s4966distribcd,distribtodonorcd,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,filedlieuf1041cd,txexmptint,qualhlthplncd,qualhlthreqmntn,qualhlthonhnd,rcvdpdtngcd,filedf720cd,totreprtabled,totcomprelatede,totestcompf,noindiv100kcnt,nocontractor100kcnt,totcntrbgfts,prgmservcode2acd,totrev2acola,prgmservcode2bcd,totrev2bcola,prgmservcode2ccd,totrev2ccola,prgmservcode2dcd,totrev2dcola,prgmservcode2ecd,totrev2ecola,totrev2fcola,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,rntlexpnsreal,rntlexpnsprsnl,rntlincreal,rntlincprsnl,netrntlinc,grsalesecur,grsalesothr,cstbasisecur,cstbasisothr,gnlsecur,gnlsothr,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,grsalesinvent,lesscstofgoods,netincsales,miscrev11acd,miscrevtota,miscrev11bcd,miscrevtot11b,miscrev11ccd,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,nonintcashend,svngstempinvend,pldgegrntrcvblend,accntsrcvblend,currfrmrcvblend,rcvbldisqualend,notesloansrcvblend,invntriesalesend,prepaidexpnsend,lndbldgsequipend,invstmntsend,invstmntsothrend,invstmntsprgmend,intangibleassetsend,othrassetsend,totassetsend,accntspayableend,grntspayableend,deferedrevnuend,txexmptbndsend,escrwaccntliabend,paybletoffcrsend,secrdmrtgsend,unsecurednotesend,othrliabend,totliabend,unrstrctnetasstsend,temprstrctnetasstsend,permrstrctnetasstsend,capitalstktrstend,paidinsurplusend,retainedearnend,totnetassetend,totnetliabastend,nonpfrea,totnooforgscnt,totsupport,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,pubsuppsubtot170,exceeds2pct170,pubsupplesspct170,samepubsuppsubtot170,grsinc170,netincunreltd170,othrinc170,totsupp170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,grsrcptsactivities509,txrevnuelevied509,srvcsval509,pubsuppsubtot509,rcvdfrmdisqualsub509,exceeds1pct509,subtotpub509,pubsupplesub509,samepubsuppsubtot509,grsinc509,unreltxincls511tx509,subtotsuppinc509,netincunrelatd509,othrinc509,totsupp509
Community Foundation for Southern Arizona,942681765,Press Forward,https://cfsaz.org/pressforward/,Southern Arizona,,,,,2023.0,"18,652,959","14,976,946","3,676,013",Contributions,0.772,Investment Income,0.209,Sales of Assets,0.028,"Program Services, Other Revenue",0.013,Other Salaries and Wages,0.08,Executive Compensation,0.042,"186,272,025","12,737,571","173,534,454",AZ,E,942681765.0,202206.0,3.0,Y,Y,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,51.0,0.0,Y,25.0,Y,Y,Y,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,617458.0,0.0,69755.0,4.0,0.0,34316728.0,541610,209210.0,519100,49297.0,      ,0.0,      ,0.0,      ,0.0,0.0,258507.0,4079503.0,0.0,0.0,186239.0,0.0,490918.0,0.0,-304679.0,0.0,-304679.0,49250381.0,0.0,50147026.0,0.0,-896645.0,0.0,-896645.0,15720.0,26748.0,-11028.0,0.0,0.0,0.0,0.0,0.0,0.0,900099,2180.0,      ,0.0,      ,0.0,0.0,2180.0,37444566.0,12671414.0,20000.0,0.0,0.0,468732.0,0.0,962656.0,63904.0,73524.0,102022.0,0.0,11717.0,60900.0,0.0,46350.0,370374.0,217076.0,94214.0,53909.0,337272.0,0.0,77219.0,6501.0,0.0,20400.0,62361.0,0.0,96929.0,26278.0,108720.0,31785.0,21343.0,18566.0,0.0,13004.0,16037170.0,809832.0,12843918.0,7263330.0,0.0,0.0,0.0,1098522.0,0.0,92853.0,5865748.0,142887656.0,237365.0,0.0,0.0,10167.0,171109391.0,210216.0,269267.0,0.0,0.0,0.0,0.0,2447202.0,0.0,7318833.0,10245518.0,74448655.0,86415218.0,0.0,0.0,0.0,0.0,160863873.0,171109391.0,7,0.0,0.0,97087640.0,0.0,0.0,97087640.0,11874401.0,85213239.0,97087640.0,15490564.0,4850.0,296390.0,112879444.0,1284161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Community Foundation for the Land of Lincoln,204191391,Press Forward,https://cfll.org,"Springfield, IL",,,,,2023.0,"7,896,379","5,584,306","2,312,073",Contributions,0.69,Investment Income,0.205,Sales of Assets,0.08,"Royalties,Program Services, Other Revenue",0.024,Executive Compensation,0.085,Other Salaries and Wages,0.023,"79,066,973","7,715,814","71,351,159",IL,E,204191391.0,202212.0,3.0,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,6.0,0.0,Y,6.0,Y,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,367683.0,0.0,70006.0,2.0,0.0,10373412.0,523920,62875.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,62875.0,1174809.0,0.0,101112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27604678.0,0.0,33698100.0,0.0,-6093422.0,0.0,-6093422.0,18800.0,72214.0,-53414.0,0.0,0.0,0.0,0.0,0.0,0.0,900099,1.0,      ,0.0,      ,0.0,0.0,1.0,5565373.0,2790927.0,219227.0,0.0,0.0,437689.0,0.0,149147.0,12734.0,112430.0,40685.0,0.0,1243.0,18650.0,0.0,0.0,0.0,29955.0,13221.0,12369.0,75069.0,0.0,39489.0,8624.0,0.0,37677.0,0.0,0.0,17826.0,5888.0,259665.0,21357.0,9795.0,11194.0,0.0,29313.0,4354174.0,0.0,5779548.0,2137728.0,0.0,0.0,0.0,850886.0,0.0,25236.0,31386.0,46736917.0,8318375.0,0.0,0.0,0.0,63880076.0,11775.0,275600.0,0.0,0.0,0.0,0.0,0.0,0.0,6658248.0,6945623.0,3131963.0,53802490.0,0.0,0.0,0.0,0.0,56934453.0,63880076.0,7,0.0,0.0,40328838.0,0.0,0.0,40328838.0,11680839.0,28647999.0,40328838.0,4894862.0,0.0,102347.0,45326047.0,280713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Community Foundation of Tampa Bay,593001853,Press Forward,https://cftampabay.org,Tampa Bay,,,,,2023.0,"160,041,596","34,017,854","126,023,742",Contributions,0.879,Investment Income,0.077,Sales of Assets,0.039,"Program Services,Other Revenue",0.005,Other Salaries and Wages,0.058,Executive Compensation,0.016,"663,874,004","62,027,475","601,846,529",,E,593001853.0,202206.0,3.0,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,Y,99.0,0.0,Y,29.0,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,894956.0,0.0,89740.0,5.0,1.0,245180304.0,611710,435805.0,611710,52363.0,      ,0.0,      ,0.0,      ,0.0,0.0,488168.0,4926629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30896300.0,0.0,18655401.0,0.0,12240899.0,0.0,12240899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900099,353722.0,900099,3327.0,      ,0.0,0.0,357049.0,263193049.0,70045506.0,829818.0,0.0,0.0,522744.0,0.0,1543127.0,160914.0,157794.0,145458.0,0.0,0.0,0.0,0.0,0.0,867776.0,197444.0,316239.0,59672.0,165702.0,0.0,252380.0,8160.0,0.0,39858.0,0.0,0.0,82359.0,36214.0,64718.0,25054.0,0.0,0.0,0.0,54521.0,75575458.0,3101930.0,0.0,1232500.0,227605.0,0.0,0.0,0.0,0.0,139151.0,288397.0,435886872.0,52070921.0,0.0,0.0,6178667.0,499126043.0,420582.0,40393.0,0.0,0.0,0.0,0.0,0.0,0.0,55371129.0,55832104.0,439101301.0,4192638.0,0.0,0.0,0.0,0.0,443293939.0,499126043.0,8,0.0,0.0,261761428.0,0.0,0.0,261761428.0,60183908.0,201577520.0,261761428.0,23637813.0,501805.0,4936682.0,290837728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vermont Community Foundation,222712160,Press Forward,https://vermontcf.org,Vermont,,,,,2022.0,"40,050,864","39,751,190","299,674",Contributions,0.793,Investment Income,0.108,Sales of Assets,0.067,Program Services,0.031,Other Salaries and Wages,0.059,Executive Compensation,0.029,"316,750,116","12,225,412","304,524,704",VT,E,222712160.0,202212.0,3.0,Y,Y,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,50.0,0.0,Y,50.0,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,1162070.0,0.0,234651.0,7.0,7.0,31765582.0,561000,794816.0,561000,463092.0,561000,3000.0,      ,0.0,      ,0.0,0.0,1260908.0,4339247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136764747.0,0.0,134077766.0,0.0,2686981.0,0.0,2686981.0,6439.0,8293.0,-1854.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,40050864.0,31484452.0,0.0,0.0,0.0,1167596.0,0.0,2360997.0,91598.0,393217.0,260204.0,0.0,46332.0,92663.0,0.0,0.0,2021873.0,501979.0,189649.0,97822.0,494962.0,0.0,109885.0,31350.0,0.0,80489.0,0.0,0.0,119932.0,34527.0,80062.0,37454.0,23729.0,19957.0,0.0,10461.0,39751190.0,13269157.0,0.0,224420.0,0.0,0.0,0.0,0.0,0.0,121369.0,1449882.0,151738026.0,132444255.0,17189513.0,0.0,313494.0,316750116.0,871239.0,2294172.0,0.0,0.0,0.0,0.0,212072.0,0.0,8847929.0,12225412.0,294021826.0,10502878.0,0.0,0.0,0.0,0.0,304524704.0,316750116.0,7,0.0,0.0,163618420.0,0.0,0.0,163618420.0,23985966.0,139632454.0,163618420.0,18356011.0,278697.0,0.0,182253128.0,3953196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wichita Foundation,263154279,Press Forward,https://wichitafoundation.org,Wichita,,,,,,,,,,,,,,,,,,,,,,,,,E,263154279.0,202212.0,3.0,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0.0,0.0,N,0.0,N,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,0.0,0.0,0.0,0.0,0.0,80630.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,80630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10256.0,0.0,8000.0,1997.0,510.0,375.0,0.0,-316.0,20822.0,105524.0,294000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268584.0,0.0,0.0,0.0,0.0,0.0,668108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668108.0,0.0,0.0,668108.0,668108.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132995.0,0.0,0.0,0.0,0.0,132995.0,0.0,0.0,0.0,132995.0,132995.0,0.0,0.0,0.0,0.0,0.0,132995.0
Wyoming Community Foundation,830287513,Press Forward,https://wycf.org,Wyoming,,,,,2022.0,"14,408,051","12,639,047","1,769,004",Contributions,0.503,Investment Income,0.339,Other Revenue,0.158,Rental Property Income,<.01,Other Salaries and Wages,0.089,Executive Compensation,0.048,"186,024,480","35,481,702","150,542,778",WY,E,830287513.0,202212.0,3.0,Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,27.0,0.0,Y,21.0,Y,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,601640.0,0.0,0.0,4.0,0.0,7241133.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,4877163.0,0.0,0.0,7200.0,0.0,0.0,0.0,7200.0,0.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900099,2092613.0,900099,30250.0,900099,159692.0,0.0,2282555.0,14408051.0,7374908.0,0.0,0.0,0.0,601640.0,0.0,1129571.0,0.0,0.0,143409.0,0.0,12507.0,37715.0,6397.0,0.0,318857.0,0.0,194288.0,133509.0,93963.0,0.0,24659.0,135997.0,0.0,15835.0,0.0,0.0,64902.0,23088.0,1726935.0,134525.0,30460.0,18834.0,0.0,417048.0,12639047.0,0.0,8661944.0,0.0,9565.0,0.0,0.0,0.0,0.0,17683.0,929530.0,173594065.0,2811693.0,0.0,0.0,0.0,186024480.0,154192.0,2242063.0,0.0,0.0,0.0,0.0,0.0,0.0,33085447.0,35481702.0,150542778.0,0.0,0.0,0.0,0.0,0.0,150542778.0,186024480.0,7,0.0,0.0,44715771.0,0.0,0.0,44715771.0,0.0,44715771.0,44715771.0,27666699.0,0.0,0.0,72382470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahoning Community Foundation,341904353,Press Forward,,Ohio,,,,,,,,,,,,,,,,,,,,,,,,OH,E,341904353.0,202212.0,3.0,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,14.0,0.0,N,8.0,Y,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,119125.0,0.0,16757.0,1.0,0.0,1611394.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,303155.0,303155.0,884200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11545449.0,0.0,11305279.0,0.0,240170.0,0.0,240170.0,24347.0,24347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,3038919.0,2290536.0,91912.0,0.0,0.0,119125.0,334548.0,0.0,10096.0,53823.0,34471.0,0.0,0.0,36565.0,0.0,0.0,173901.0,75600.0,7057.0,8173.0,0.0,0.0,37393.0,1849.0,0.0,6076.0,0.0,0.0,12332.0,9967.0,40286.0,28835.0,10985.0,5951.0,0.0,22037.0,3411518.0,0.0,599291.0,16070.0,0.0,0.0,0.0,0.0,0.0,0.0,17696.0,37731437.0,0.0,0.0,0.0,0.0,38364494.0,11933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6198203.0,6210136.0,21218350.0,10936008.0,0.0,0.0,0.0,0.0,32154358.0,38364494.0,8,0.0,0.0,6915690.0,0.0,0.0,6915690.0,1430931.0,5484759.0,6915690.0,3323105.0,0.0,95174.0,10333969.0,1310296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Hampshire Charitable Foundation,26005625,RFA Community News Funds,https://www.nhcf.org,New Hampshire,,,,,2022.0,"65,087,484","72,174,040","-7,086,556",Contributions,0.702,Sales of Assets,0.217,Investment Income,0.093,Program Services,0.002,Other Salaries and Wages,0.057,Executive Compensation,0.019,"906,709,858","64,521,161","842,188,697",NH,E,26005625.0,202212.0,3.0,Y,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,58.0,0.0,Y,62.0,Y,Y,Y,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,1810287.0,0.0,319501.0,16.0,23.0,45666774.0,541900,102800.0,611710,13421.0,541900,9474.0,611710,126.0,      ,0.0,0.0,125821.0,6071699.0,0.0,0.0,46800.0,0.0,40381.0,0.0,6419.0,0.0,6419.0,92263109.0,0.0,78139554.0,0.0,14123555.0,0.0,14123555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541900,87666.0,525990,-994450.0,      ,0.0,0.0,-906784.0,65087484.0,49713691.0,8014133.0,1755548.0,0.0,1387642.0,0.0,4122651.0,515909.0,569609.0,370958.0,0.0,41315.0,62570.0,0.0,0.0,2404432.0,1537188.0,0.0,98273.0,469424.0,0.0,192040.0,100715.0,0.0,91424.0,0.0,0.0,213348.0,58591.0,310207.0,69990.0,57766.0,16616.0,0.0,0.0,72174040.0,94694.0,93232513.0,1533650.0,1001660.0,0.0,0.0,1847469.0,0.0,89188.0,1414453.0,156642242.0,642129336.0,0.0,0.0,8724653.0,906709858.0,772989.0,9427844.0,2629908.0,0.0,0.0,0.0,0.0,0.0,51690420.0,64521161.0,706934840.0,135253857.0,0.0,0.0,0.0,0.0,842188697.0,906709858.0,8,0.0,0.0,287396247.0,0.0,0.0,287396247.0,33957695.0,253438552.0,287396247.0,27037622.0,1669774.0,-1269476.0,314834167.0,1248615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Hampshire Women's Foundation,20495092,RFA Community News Funds,https://nhwomensfoundation.org,New Hampshire,,,,,2021.0,"584,227","704,252","-120,025",Contributions,0.903,Investment Income,0.12,Sales of Assetts,0.001,,,Other Salaries and Wages,0.351,Executive Compensation,0.199,"2,010,896","21,002","1,989,894",NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware Community Foundation,222804785,RFA Community News Funds,https://delcf.org,Delaware,,,,,2023.0,"37,470,416","36,088,293","1,382,123",Contributions,0.577,Sales of Assets,0.206,Investment Income,0.192,"Program Services, Other Revenue",0.025,Other Salaries and Wages,0.042,,,"347,152,846","44,641,333","302,511,513",DE,E,222804785.0,202206.0,3.0,Y,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,56.0,0.0,Y,32.0,Y,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,292018.0,0.0,71153.0,1.0,5.0,25010204.0,561000,401345.0,900099,247681.0,      ,0.0,      ,0.0,      ,0.0,0.0,649026.0,6620855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94727792.0,0.0,71553366.0,0.0,23174426.0,0.0,23174426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900099,271654.0,900099,24823.0,900099,13053.0,0.0,309530.0,55764041.0,25722952.0,478866.0,0.0,0.0,286390.0,1341154.0,0.0,98011.0,299576.0,111834.0,0.0,0.0,0.0,0.0,0.0,1418904.0,1142393.0,205475.0,94762.0,228160.0,0.0,70632.0,43656.0,0.0,0.0,0.0,0.0,35131.0,36465.0,938717.0,183377.0,-6083.0,0.0,0.0,0.0,32730372.0,0.0,31066877.0,195992.0,5136.0,0.0,0.0,1761628.0,0.0,0.0,112093.0,256102168.0,40930768.0,0.0,0.0,31417.0,330206079.0,256099.0,0.0,2025265.0,0.0,0.0,0.0,0.0,0.0,37565983.0,39847347.0,290335832.0,22900.0,0.0,0.0,0.0,0.0,290358732.0,330206079.0,7,0.0,0.0,138540540.0,0.0,0.0,138540540.0,51393472.0,87147068.0,138540540.0,23809918.0,0.0,0.0,162350458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Healthy Communities Delaware,,RFA Community News Funds,https://healthycommunitiesde.org,Delaware,,,,,,,,,,,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware Humanities,510212681,RFA Community News Funds,https://dehumanities.org,Delaware,,,,,,,,,,,,,,,,,,,,,,,,DE,E,510212681.0,202210.0,3.0,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,29.0,0.0,N,6.0,Y,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,78403.0,0.0,16033.0,0.0,0.0,854712.0,      ,5975.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,5975.0,14130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914346.0,0.0,880969.0,0.0,33377.0,0.0,33377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900099,3474.0,      ,0.0,      ,0.0,0.0,3474.0,911668.0,699348.0,0.0,0.0,0.0,89137.0,0.0,304201.0,0.0,79213.0,30776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3480.0,10392.0,0.0,0.0,26127.0,5033.0,0.0,1933.0,0.0,0.0,2587.0,3956.0,88774.0,27047.0,16703.0,16096.0,0.0,18844.0,1423647.0,216643.0,0.0,264703.0,450.0,0.0,0.0,0.0,0.0,20204.0,7023.0,0.0,715467.0,0.0,0.0,0.0,1224490.0,50645.0,95663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146308.0,1057613.0,20569.0,0.0,0.0,0.0,0.0,1078182.0,1224490.0,7,0.0,0.0,4795429.0,0.0,0.0,4795429.0,681279.0,4114150.0,4795429.0,60825.0,0.0,3474.0,4859728.0,114028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
